Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,2,167,8,Some Random Commen with Id 0
1,1,2,193,6,Some Random Commen with Id 1
2,1,2,17,2,Some Random Commen with Id 2
3,1,2,86,9,Some Random Commen with Id 3
4,1,2,100,7,Some Random Commen with Id 4
5,1,2,74,2,Some Random Commen with Id 5
6,1,2,157,3,Some Random Commen with Id 6
7,1,2,110,0,Some Random Commen with Id 7
8,2,7,45,8,Some Random Commen with Id 8
9,3,2,12,4,Some Random Commen with Id 9
10,3,2,32,2,Some Random Commen with Id 10
11,3,2,76,9,Some Random Commen with Id 11
12,3,2,160,2,Some Random Commen with Id 12
13,3,2,52,1,Some Random Commen with Id 13
14,3,2,181,6,Some Random Commen with Id 14
15,3,2,174,5,Some Random Commen with Id 15
16,3,2,46,3,Some Random Commen with Id 16
17,4,6,112,4,Some Random Commen with Id 17
18,4,6,36,8,Some Random Commen with Id 18
19,4,6,177,7,Some Random Commen with Id 19
20,4,6,63,9,Some Random Commen with Id 20
21,4,6,24,7,Some Random Commen with Id 21
22,4,6,119,6,Some Random Commen with Id 22
23,4,6,43,4,Some Random Commen with Id 23
24,5,8,8,7,Some Random Commen with Id 24
25,5,8,100,3,Some Random Commen with Id 25
26,5,8,93,7,Some Random Commen with Id 26
27,5,8,144,1,Some Random Commen with Id 27
28,5,8,179,9,Some Random Commen with Id 28
29,5,8,15,4,Some Random Commen with Id 29
30,5,8,164,3,Some Random Commen with Id 30
31,6,5,181,0,Some Random Commen with Id 31
32,6,5,74,4,Some Random Commen with Id 32
33,6,5,55,2,Some Random Commen with Id 33
34,6,5,72,2,Some Random Commen with Id 34
35,6,5,136,9,Some Random Commen with Id 35
36,6,5,159,0,Some Random Commen with Id 36
37,6,5,38,3,Some Random Commen with Id 37
38,6,5,130,9,Some Random Commen with Id 38
39,7,0,105,4,Some Random Commen with Id 39
40,7,0,21,7,Some Random Commen with Id 40
41,7,0,15,6,Some Random Commen with Id 41
42,7,0,124,6,Some Random Commen with Id 42
43,8,3,126,2,Some Random Commen with Id 43
44,8,3,165,7,Some Random Commen with Id 44
45,8,3,168,9,Some Random Commen with Id 45
46,8,3,49,2,Some Random Commen with Id 46
47,9,2,117,2,Some Random Commen with Id 47
48,10,5,128,3,Some Random Commen with Id 48
49,10,5,120,9,Some Random Commen with Id 49
50,10,5,20,0,Some Random Commen with Id 50
51,10,5,70,9,Some Random Commen with Id 51
52,10,5,9,6,Some Random Commen with Id 52
53,10,5,20,8,Some Random Commen with Id 53
54,10,5,36,6,Some Random Commen with Id 54
55,10,5,78,2,Some Random Commen with Id 55
56,10,5,67,2,Some Random Commen with Id 56
57,11,9,95,0,Some Random Commen with Id 57
58,11,9,75,8,Some Random Commen with Id 58
59,11,9,52,6,Some Random Commen with Id 59
60,11,9,79,0,Some Random Commen with Id 60
61,11,9,132,4,Some Random Commen with Id 61
62,12,6,143,1,Some Random Commen with Id 62
63,12,6,189,2,Some Random Commen with Id 63
64,12,6,39,0,Some Random Commen with Id 64
65,12,6,187,3,Some Random Commen with Id 65
66,12,6,112,6,Some Random Commen with Id 66
67,12,6,135,7,Some Random Commen with Id 67
68,12,6,149,8,Some Random Commen with Id 68
69,13,8,181,5,Some Random Commen with Id 69
70,13,8,24,4,Some Random Commen with Id 70
71,13,8,173,4,Some Random Commen with Id 71
72,13,8,179,0,Some Random Commen with Id 72
73,13,8,87,4,Some Random Commen with Id 73
74,13,8,73,9,Some Random Commen with Id 74
75,14,9,66,1,Some Random Commen with Id 75
76,14,9,102,5,Some Random Commen with Id 76
77,14,9,8,2,Some Random Commen with Id 77
78,14,9,0,7,Some Random Commen with Id 78
79,15,6,176,4,Some Random Commen with Id 79
80,15,6,9,8,Some Random Commen with Id 80
81,15,6,68,6,Some Random Commen with Id 81
82,15,6,114,1,Some Random Commen with Id 82
83,15,6,3,8,Some Random Commen with Id 83
84,15,6,152,7,Some Random Commen with Id 84
85,15,6,90,3,Some Random Commen with Id 85
86,16,7,70,8,Some Random Commen with Id 86
87,16,7,76,6,Some Random Commen with Id 87
88,16,7,131,6,Some Random Commen with Id 88
89,16,7,169,2,Some Random Commen with Id 89
90,16,7,59,0,Some Random Commen with Id 90
91,16,7,54,9,Some Random Commen with Id 91
92,16,7,3,8,Some Random Commen with Id 92
93,16,7,135,2,Some Random Commen with Id 93
94,16,7,191,2,Some Random Commen with Id 94
95,17,3,174,4,Some Random Commen with Id 95
96,17,3,116,3,Some Random Commen with Id 96
97,17,3,48,7,Some Random Commen with Id 97
98,17,3,61,7,Some Random Commen with Id 98
99,17,3,124,5,Some Random Commen with Id 99
100,17,3,179,9,Some Random Commen with Id 100
101,17,3,197,0,Some Random Commen with Id 101
102,18,3,116,1,Some Random Commen with Id 102
103,18,3,158,9,Some Random Commen with Id 103
104,18,3,138,5,Some Random Commen with Id 104
105,19,6,164,9,Some Random Commen with Id 105
106,19,6,78,3,Some Random Commen with Id 106
107,20,5,12,3,Some Random Commen with Id 107
108,20,5,31,1,Some Random Commen with Id 108
109,20,5,142,5,Some Random Commen with Id 109
110,20,5,129,9,Some Random Commen with Id 110
111,21,4,61,6,Some Random Commen with Id 111
112,21,4,187,2,Some Random Commen with Id 112
113,21,4,161,2,Some Random Commen with Id 113
114,21,4,168,0,Some Random Commen with Id 114
115,21,4,70,4,Some Random Commen with Id 115
116,21,4,22,2,Some Random Commen with Id 116
117,22,9,33,5,Some Random Commen with Id 117
118,22,9,110,3,Some Random Commen with Id 118
119,23,7,32,9,Some Random Commen with Id 119
120,23,7,149,3,Some Random Commen with Id 120
121,23,7,138,9,Some Random Commen with Id 121
122,24,0,160,7,Some Random Commen with Id 122
123,24,0,51,7,Some Random Commen with Id 123
124,24,0,178,4,Some Random Commen with Id 124
125,24,0,56,3,Some Random Commen with Id 125
126,24,0,110,2,Some Random Commen with Id 126
127,24,0,144,5,Some Random Commen with Id 127
128,24,0,141,4,Some Random Commen with Id 128
129,24,0,171,9,Some Random Commen with Id 129
130,25,2,14,2,Some Random Commen with Id 130
131,25,2,119,6,Some Random Commen with Id 131
132,25,2,192,5,Some Random Commen with Id 132
133,25,2,18,4,Some Random Commen with Id 133
134,25,2,54,7,Some Random Commen with Id 134
135,25,2,117,6,Some Random Commen with Id 135
136,26,2,19,3,Some Random Commen with Id 136
137,26,2,109,3,Some Random Commen with Id 137
138,26,2,78,2,Some Random Commen with Id 138
139,26,2,93,3,Some Random Commen with Id 139
140,26,2,94,5,Some Random Commen with Id 140
141,27,4,148,2,Some Random Commen with Id 141
142,28,1,140,4,Some Random Commen with Id 142
143,28,1,54,1,Some Random Commen with Id 143
144,28,1,49,0,Some Random Commen with Id 144
145,28,1,124,5,Some Random Commen with Id 145
146,28,1,34,6,Some Random Commen with Id 146
147,28,1,26,4,Some Random Commen with Id 147
148,28,1,170,8,Some Random Commen with Id 148
149,28,1,188,9,Some Random Commen with Id 149
150,28,1,69,0,Some Random Commen with Id 150
151,29,8,199,9,Some Random Commen with Id 151
152,29,8,152,8,Some Random Commen with Id 152
153,29,8,55,7,Some Random Commen with Id 153
154,29,8,66,6,Some Random Commen with Id 154
155,29,8,120,1,Some Random Commen with Id 155
156,29,8,184,8,Some Random Commen with Id 156
157,29,8,24,2,Some Random Commen with Id 157
158,29,8,140,8,Some Random Commen with Id 158
159,29,8,185,5,Some Random Commen with Id 159
160,31,0,189,6,Some Random Commen with Id 160
161,31,0,78,3,Some Random Commen with Id 161
162,31,0,78,2,Some Random Commen with Id 162
163,32,1,179,4,Some Random Commen with Id 163
164,32,1,79,1,Some Random Commen with Id 164
165,32,1,188,4,Some Random Commen with Id 165
166,33,0,98,4,Some Random Commen with Id 166
167,33,0,125,0,Some Random Commen with Id 167
168,33,0,80,8,Some Random Commen with Id 168
169,33,0,0,5,Some Random Commen with Id 169
170,34,5,130,5,Some Random Commen with Id 170
171,34,5,92,5,Some Random Commen with Id 171
172,34,5,149,0,Some Random Commen with Id 172
173,34,5,29,0,Some Random Commen with Id 173
174,34,5,181,2,Some Random Commen with Id 174
175,34,5,12,5,Some Random Commen with Id 175
176,34,5,160,0,Some Random Commen with Id 176
177,34,5,62,8,Some Random Commen with Id 177
178,34,5,187,9,Some Random Commen with Id 178
179,35,8,113,3,Some Random Commen with Id 179
180,35,8,89,8,Some Random Commen with Id 180
181,35,8,30,1,Some Random Commen with Id 181
182,35,8,109,9,Some Random Commen with Id 182
183,35,8,178,4,Some Random Commen with Id 183
184,35,8,164,9,Some Random Commen with Id 184
185,37,1,192,2,Some Random Commen with Id 185
186,37,1,187,8,Some Random Commen with Id 186
187,37,1,34,8,Some Random Commen with Id 187
188,37,1,138,3,Some Random Commen with Id 188
189,38,8,139,2,Some Random Commen with Id 189
190,38,8,167,0,Some Random Commen with Id 190
191,38,8,78,0,Some Random Commen with Id 191
192,38,8,26,1,Some Random Commen with Id 192
193,38,8,49,0,Some Random Commen with Id 193
194,38,8,137,8,Some Random Commen with Id 194
